ID,requirements_text,CTL,Pattern
47,If p occurs at least once in the sequence then all occurrences of p occur before r.,F(p) -> ((!r) W G(!p)),Pattern 1.2: Absence - Before R
48,If p occurs at least once and r occurs at least once in the sequence then all occurrences of p occur after all of r.,(F p & F r) -> ((!p) U G(!r)),Pattern 2.5: Existence - After Q until R
49,"If this side is active, the mode annunciations shall be on if and only if the onside FD cues are displayed, or the offside FD cues are displayed, or the AP is engaged",AG(IsThisSideActive -> (ModeAnnunciationsOn <-> (OnsideFDOn | OffsideFDOn | IsAPEngaged))),Pattern 4.1: Universality - Globally
50,"If the onside FD cues are off, the onside FD cues shall be displayed when the AP is engaged.",AG((!OnsideFDOn & !IsAPEngaged)-> AX(IsAPEngaged -> OnsideFDOn)),Pattern 6.1: Response - Globally
51,"If this side is active and the mode annunciations are off, the mode annunciations shall be turned on when the onside FD is turned on.",AG((!ModeAnnunciationsOn & !OnsideFDOn) -> AX((IsThisSideActive & OnsideFDOn) -> ModeAnnunciationsOn)),Pattern 6.1: Response - Globally
52,"If this side is active and the mode annunciations are off, the mode annunciations shall be turned on when the offside FD is turned on.",AG((!ModeAnnunciationsOn & !OffsideFDOn) -> AX((IsThisSideActive & OffsideFDOn) -> ModeAnnunciationsOn)),Pattern 6.1: Response - Globally
53,"If this side is active and the mode annunciations are off, the mode annunciations shall be turned on when the AP is engaged.",AG((!ModeAnnunciationsOn & !IsAPEngaged) -> AX((IsThisSideActive & IsAPEngaged) -> ModeAnnunciationsOn)),Pattern 6.1: Response - Globally
54,"If this side is active and the mode annunciations are on, the mode annunciations shall be turned off if the onside FD is off, the offside FD is off, and the AP is disengaged.",AG(ModeAnnunciationsOn -> AX((IsThisSideActive & !OnsideFDOn & !OffsideFDOn & !IsAPEngaged) -> !ModeAnnunciationsOn)),Pattern 4.1: Universality - Globally
55,The mode annunciations shall not be on at system power up.,(!ModeAnnunciationsOn),Pattern 1.1: Absence - Globally
56,"If this side is active the mode annunciations shall be on if and only if the onside FD cues are displayed, or the offside FD cues are displayed, or the AP is engaged.",AG(IsThisSideActive -> (ModeAnnunciationsOn <-> (OnsideFDOn | OffsideFDOn | IsAPEngaged))),Pattern 4.1: Universality - Globally
57,"In the clock cycle that FRAME is deasserted, IRDY has to be asserted.",AG(FRAME -> AF(!FRAME & IRDY)),Pattern 6.1: Response - Globally
58,"Whenever Trigger is set, a transaction must be initiated by the master.",AG(Trigger -> AF(Transaction)),Pattern 6.1: Response - Globally
59,"Once FRAME has been asserted, it should eventually be deasserted.",AG(FRAME -> AF(!FRAME)),Pattern 6.1: Response - Globally
60,"Once TRDY has been asserted, TRDY and STOP must remain unchanged until the end of the current data phase.",AG(TRDY -> AX(TRDY & STOP -> X(TRDY & STOP))),Pattern 6.1: Response - Globally
61,"If REQ is asserted, GNT is eventually asserted.",AG(REQ -> AF(GNT)),Pattern 6.1: Response - Globally
62,Observed that if devsel is removed then FRAME gets deasserted.,AG(devsel -> AX(!devsel -> !FRAME)),Pattern 6.1: Response - Globally
63,"If DEVSEL is asserted, ultimately TRDY should be asserted.",AG(DEVSEL -> AF(TRDY)),Pattern 6.1: Response - Globally
64,"In a transaction if STOP and IRDY are asserted, FRAME must be deasserted.",AG((STOP & IRDY) -> (AF(!FRAME))),Pattern 6.1: Response - Globally
65,Reset should be high.,AG(Reset),Pattern 4.1: Universality - Globally
66,AWBURST remains stable when AWVALID is asserted.,AG(AWVALID -> AX(stable(AWBURST))),Pattern 6.1: Response - Globally
67,BVALID is LOW for the ?rst cycle after ARESETn goes HIGH.,AG(ARESETn -> A[!(AX(BVALID))],Pattern 6.1: Response - Globally
68,A value of X on WUSER is not permitted when WVALID is HIGH.,AG(WVALID -> (WUSER != X)),Pattern 4.1: Universality - Globally
69,A value of X on CACTIVE is not permitted when not in reset.,AG(!reset -> (CACTIVE != X)),Pattern 4.1: Universality - Globally
70,RLAST remains stable when RVALID is asserted and RREADY is LOW.,AG((RVALID & !RREADY) -> (stable(RLAST))),Pattern 4.1: Universality - Globally
71,Parameter WDEPTH must be greater than or equal to 1.,AG(WDEPTH >= 1),Pattern 4.1: Universality - Globally
72,"Whenever a request is made, the system state should transition to ""busy"" and remain in that state until the request is complete.",AG(request -> AF (state = busy)),Pattern 6.1: Response - Globally
73,"If the state of MCP has no missionaries and no cannibals, the game has ended.",AGEF(!MCP.missionaries & !MCP.cannibals),Pattern 2.1: Existence - Globally
74,A user must be able to create a user account by providing a username and a password.,AG(requestCreateAccount -> AF(userAccountCreated)),Pattern 6.1: Response - Globally
75,A user must be able to login to his account by providing his username and password.,AG((usernameProvided & passwordProvided) -> AF(login)),Pattern 6.1: Response - Globally
76,A user that is logged in to his account must be able to update his password.,AG(userLogin -> AF(passwordUpdate)),Pattern 6.1: Response - Globally
77,A logged in user must be able to add a new bookmark to his account.,AG(userLogin -> AF(bookmarkAdd)),Pattern 6.1: Response - Globally
78,A logged in user must be able to retrieve any bookmark from his account.,AG(userLogin -> AF(bookmarkRetrieval)),Pattern 6.1: Response - Globally
79,A logged in user must be able to delete any bookmark from his account.,AG(userLogin -> AF(bookmarkDelete)),Pattern 6.1: Response - Globally
80,A logged in user must be able to update any bookmark from his account.,AG(userLogin -> AF(bookmarkUpdate)),Pattern 6.1: Response - Globally
81,A logged in user must be able to mark his bookmarks as public or private.,AG(userLogin -> AF(bookmarkPublic || bookmarkPrivate)),Pattern 6.1: Response - Globally
82,A logged in user must be able to add tags to his bookmarks.,AG(userLogin -> AF(tagsAdded)),Pattern 6.1: Response - Globally
83,Any user must be able to retrieve the public bookmarks of any RESTMARKS's community user.,AG(publicBookmark -> AF(retrievePublicBookmark)),Pattern 6.1: Response - Globally
84,Any user must be able to search by tag the public bookmarks of a specific RESTMARKS's user.,AG(searchByTag -> AF(publicBookmarkOfSpecificUser)),Pattern 6.1: Response - Globally
85,Any user must be able to search by tag the public bookmarks of all RESTMARKS's user.,AG(searchByTag -> AF(publicBookmarksOfAllUsers)),Pattern 6.1: Response - Globally
86,A logged in user must be able to search by tag his private bookmarks as well.,AG((userLogin & searchByTag) -> AF(privateBookmarks)),Pattern 6.1: Response - Globally
87,The system shall refresh the display every 60 seconds.,AG(refreshDisplay),Pattern 4.1: Universality - Globally
88,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,AG(normalBusinessHours & userAccess & firstSixMonths -> AG(productAvailable)),Pattern 4.3: Universality - After Q
89,The product shall ensure that it can only be accessed by authorized users.,AG(AccessByAuthorizedUsers),Pattern 4.1: Universality - Globally
90,The product shall respond fast to keep up-to-date data in the display.,AG(DataUpdated -> AF(FastResponse)),Pattern 6.1: Response - Globally
91,The system shall have a MDI form that allows for the viewing of the graph and the data table.,AG(MDIFormExists -> (AG(graphView) & AG(dataTableView))),Pattern 4.3: Universality - After Q
92,The system shall display Events in a vertical table by time.,AG(eventTable),Pattern 4.1: Universality - Globally
93,The system shall display the Events in a graph by time.,AG(eventGraph),Pattern 4.1: Universality - Globally
94,The Disputes System must be accessible by both internal and external users.,AG(accessibleByInternalUsers & accessibleByExternalUsers),Pattern 4.1: Universality - Globally
95,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,AG(userAccess -> A[!userAccess W userAccess & AG(cardholderBase)]),"Combination 6.1, 1.2, and 4.1"
96,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,AG((userInterface & realTimeResponse) -> EF(directDataEntry)),Pattern 6.1: Response - Globally
97,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,AG((caseClosed & timeElapsed >= 6) -> EF(casePurged)),Pattern 6.1: Response - Globally
98,The Disputes System shall provide view access capability for authorized users of the application.,AG(authorizedUser -> AF(viewAccess)),Pattern 6.1: Response - Globally
99,The Disputes System shall provide update access capability for authorized users of the application.,AG(authorizedUser -> AF(updateAccess)),Pattern 6.1: Response - Globally
100,The Disputes System must allow the users to select disputable transactions from a user interface and initiate a dispute on the selected transaction.,AG(selectTransaction -> AF(initiateDispute)),Pattern 6.1: Response - Globally
101,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,AG(selectMultipleTransactions & sameMerchant -> EF(initiateDispute)),Pattern 6.1: Response - Globally
102,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.,EF(createTicketRequest) | EF(initiateTicketRetrieval),Pattern 2.1: Existence - Globally
103,The Disputes System must allow the user to create three unique types of ticket retrieval requests:  (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio.,AG(createTicketRequest -> (EF(requestForOriginalReceipt) | EF(requestForCopyOfReceipt) | EF(requestForPortfolio))),Pattern 6.1: Response - Globally
104,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,AG(externalUser -> AG(!requestForOriginalReceipt)),Pattern 1.3: Absence - After Q
105,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request.,AG(createTicketRequest) -> AF(confirmationOfTicketRetrievalRequest),Pattern 6.1: Response - Globally
106,The Disputes System shall allow the user to create or initiate a chargeback request.,EF(createChargebackRequest | initiateChargebackRequest),Pattern 2.1: Existence - Globally
107,The system must prompt the user to enter the required information to initiate a chargeback request.,AG(createChargebackRequest -> AF(promptEnterChargebackInfo)),Pattern 6.1: Response - Globally
108,"The Disputes System must provide a confirmation (containing the dispute case number , the type of chargeback requested and the date that the merchant response is due ) to the user upon the creation of a chargeback request.",AG(createChargebackRequest -> AF(confirmationWithInfo)) & confirmationWithInfo -> (disputeCaseNumber & chargebackType & merchantResponseDueDate),Pattern 6.1: Response - Globally
109,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,AG(!duplicateDisputeRequest),Pattern 1.1: Absence - Globally
110,The Disputes System must provide the ability to view existing dispute cases.,EF(viewDisputeCases),Pattern 2.1: Existence - Globally
111,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the card member account number and (4) the issuer number.,AG(searchFunctionality -> (AG(searchByDisputeCaseNumber) & AG(searchByMerchantAccountNumber) & AG(searchByCardMemberAccountNumber) & AG(searchByIssuerNumber))),Pattern 4.1: Universality - Globally
112,A list of all disputes cases that meet the entered search criteria must be provided to the user.,AG((searchFunctionality -> AF(listOfDisputeCases))),Pattern 6.1: Response - Globally
113,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,AG(viewHistoryFunctionality -> AF(viewActivityHistory)),Pattern 6.1: Response - Globally
114,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,AG(followUpFunctionality -> (AG(filterByStatusAndAccessLevel) -> AF(listOfAvailableFollowUpActions))),Pattern 6.1: Response - Globally
115,The Disputes System shall record the user's name and the date for any activity that creates or modifies the disputes case in the system.,AG((createDisputeCaseAction | modifyDisputeCaseAction) -> (AG(userNameRecorded) & AG(dateRecorded))),Pattern 6.1: Response - Globally
116,The search results shall take no longer than 15 seconds.,AG(searchFunctionality -> EF(searchResultsTime <= 15)),Pattern 6.1: Response - Globally
117,The preferred repair facility is returned within 8 second.,AG(searchForPreferredRepairFacility -> EF(returnedPreferredRepairFacility <= 8)),Pattern 6.1: Response - Globally
118,The audit report shall be returned within 10 seconds.,AG(requestAudit -> AX(auditReturned)),Pattern 6.1: Response - Globally
119,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,EF(preferredRepairFacilityRatings -> AG(saveTime <= 5)),Pattern 6.1: Response - Globally
120,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,AG(applicationAvailable -> EF(scheduledOutageTime <= 0.02 * totalTime)),Pattern 6.1: Response - Globally
121,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,AG(ApplicationAvailable -> EF(FailureTime <= 0.02 * TotalTime)),Pattern 6.1: Response - Globally
122,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,AG(systemPerformance -> EF(simultaneousUsers <= 1500)),Pattern 6.1: Response - Globally
123,The average number of recycled parts records per day shall be 50 000.,"AG (averageRecycledPartsRecordsPerDay = 50,000)",Pattern 4.1: Universality - Globally
124,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,AG(productLaunched -> EF(concurrentUsers <= 10000 & timeSinceLaunch <= 2)),Pattern 6.1: Response - Globally
125,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,AG(requestAudit -> AG(adjusterRole)),Pattern 4.1: Universality - Globally
126,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,AG((adjusterRole & supervisorRole) -> EF(updateRatings)) & AG(updateRatings -> AF(adjusterRole & supervisorRole)) & AG(!supervisorRole -> AG(!accessRatings)),"Combination 6.1, 1.1, and 4.1"
127,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,AG(collisionEstimatorRole -> EF(searchRecycledParts)) & AG(searchRecycledParts -> AF(collisionEstimatorRole)) & AG(!collisionEstimatorRole -> AG(!accessRecycledPartsSearch)),Combination 6.1 and 1.3
128,Only valid data shall be entered into the system.,AG(validData),Pattern 4.1: Universality - Globally
129,One insurance company shall not be able to view another insurance companies claim data.,"AG(forall i,j : i != j => (insuranceCompany(i) -> AG(!viewClaimData(j))))",Pattern 1.3: Absence - After Q
130,The product shall free of computer viruses.,AG(!computerVirus),Pattern 1.1: Absence - Globally
131,The system shall prevent malicious attacks including denial of service.,AG(!denialOfService),Pattern 1.1: Absence - Globally
132,The user shall search for the preferred repair facility using the vehicle location and radius in miles.,AG(earchFacility -> AF((userLocation & searchRadius) & facilityLocation)),Pattern 6.1: Response - Globally
133,The vehicle data shall include the year make and model of the vehicle.,"AG(VehicleData(yearMake, model))",Pattern 4.1: Universality - Globally
134,"The vehicle location shall include street address, city, state and zip code.",AG(vehicleLocation -> (streetAddress & city & state & zipCode)),Pattern 4.1: Universality - Globally
135,The system shall resolve the zip code for the street address city and state if zip code is unknown.,AG((!zipCode & streetAddress & city & state) -> EF(zipCodeResolved)),Pattern 6.1: Response - Globally
136,The search radius shall be between 1 and 30 miles.,AG(searchRadius >= 1 & searchRadius <= 30),Pattern 4.1: Universality - Globally
137,The system shall locate the preferred repair facility with the highest ratings for the input criteria.,AG(searchFacility -> AF(highestRatingFacility)),Pattern 6.1: Response - Globally
138,The adjuster shall enter the preferred repair facility on the estimate assignment.,AG(estimateAssignment -> AF(preferredFacilityEntered)),Pattern 6.1: Response - Globally
139,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,AG(estimateAssignment -> AF (overrideFacility | preferredFacility)),Pattern 6.1: Response - Globally
140,The preferred repair facility shall be returned to the user.,AG(preferredFacilityReturned),Pattern 4.1: Universality - Globally
141,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,AG((!preferredFacility & searchFacility) -> EF(listOfFacilities)),Pattern 6.1: Response - Globally
142,The estimator shall search for available recycled parts using damaged vehicle parts information.,AG(estimator -> AF(searchRecycledParts)),Pattern 6.1: Response - Globally
143,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,AG(estimator -> AF(recycledPartsSearchedUsingSuppliers)),Pattern 6.1: Response - Globally
144,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers.,AG((!foundPartsPreferredSupplier & !foundPartsZipcode) -> EF(foundPartsForZipRadius & searchRadius <= 30)),Pattern 6.1: Response - Globally
145,The system shall retain the available recycled parts and suppliers returned from the search.,AG(searchConducted & resultsReturned -> AF(partsAndSuppliersRetained)),Pattern 6.1: Response - Globally
146,The available recycled parts information and their suppliers shall be returned to the user.,AG((recycledPartsInfo & suppliersInfo) -> AF(infoReturnedToUser)),Pattern 6.1: Response - Globally
147,The estimator shall apply selected recycled parts to the collision estimate.,AG(partsSelected -> AF(partsApplied)),Pattern 6.1: Response - Globally
148,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,AG(noPartsReturned -> AG(!partsApplied)),Pattern 1.3: Absence - After Q
149,The adjuster shall review the collision estimate.,AF(reviewEstimate),Pattern 2.1: Existence - Globally
150,The adjuster shall request a recycled parts audit of the collision estimate.,AF(requestAudit),Pattern 2.1: Existence - Globally
151,The recycled parts search results provided to the estimator shall be retrieved by the system.,AG(searchResultsProvided -> AF(systemRetrievesResults)),Pattern 6.1: Response - Globally
152,The system shall generate an audit report based on the available recycled parts and the collision estimate.,AG((availableRecycledParts & collisionEstimateReady) -> AF(auditReportGenerated)),Pattern 6.1: Response - Globally
153,The audit report shall include the total number of recycled parts used in the estimate.,AG(auditReportGenerated -> AF(totalRecycledPartsIncluded)),Pattern 6.1: Response - Globally
154,The audit report shall include the number of available recycled parts from the original search results.,AG(auditReportGenerated -> AF(availablePartsIncluded)),Pattern 6.1: Response - Globally
155,The audit report shall include the percentage of available recycled parts used in the estimate.,AG(auditReportGenerated -> AF(percentageAvailablePartsIncluded)),Pattern 6.1: Response - Globally
156,The audit report shall include the total score of the audit which sums the indivual line items.,AG(auditReportGenerated -> AF(totalAuditScoreIncluded)),Pattern 6.1: Response - Globally
157,The audit report shall be displayed to the user.,AG(auditReportGenerated -> AF(auditReportDisplayed)),Pattern 6.1: Response - Globally
158,The audit report shall be available to other adjusters at later points in time.,AG(auditReportGenerated -> AF(auditReportAvailable)),Pattern 6.1: Response - Globally
159,The user shall select to view the preferred repair facility ratings.,AG(userSelectsViewRatings -> AF(repairFacilityRatingsDisplayed)),Pattern 6.1: Response - Globally
160,The current repair facility ratings shall be displayed to the user.,AG(currentRatingsDisplayed),Pattern 4.1: Universality - Globally
161,The system will display a blank set of ratings if there are not ratings yet defined.,AG(!ratingsDefined -> AF(blankRatingsDisplayed)),Pattern 2.3: Existence - After Q
162,The user shall enter new ratings based on the audit report.,AG(auditReport -> EX(newRatingsEntered)),Pattern 6.1: Response - Globally
163,The ratings shall be from a scale of 1-10.,AF(rating >= 1 & rating <= 10),Pattern 2.1: Existence - Globally
164,The user shall select to save the preferred repair facility ratings.,AF(selectSaveRatings),Pattern 2.1: Existence - Globally
165,The preferred repair facility ratings shall be saved by the system.,AF(savedRatings),Pattern 2.1: Existence - Globally
166,The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,AG((responseTime <= 5) -> AF(90%TasksCompleted)) & AG((responseTime <= 8) -> AF(98%TasksCompleted)),Pattern 6.1: Response - Globally
167,Aside from server failure the software product shall achieve 99.99% up time.,AG((!serverFailure) -> AF(upTime >= 99.99)),Pattern 6.1: Response - Globally
168,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,AG(problem -> AF(exceptionLog & AX(AF(transmission)))),Pattern 6.1: Response - Globally
169,The product shall be capable of handling up to 1 000 concurrent requests. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,AG(peakTime -> (concurrentRequests <= 1000)),Pattern 4.1: Universality - Globally
170,The product shall be able to process 10 000 transactions per hour within two years of its launch.,A[!productAgeInYears<=2 W (productAgeInYears<=2 & AF(transactionsPerHour >= 10000))],Pattern 2.3: Existence - After Q
171,The transactions number will increase to 20 000 by Release 2.,A[(release != 2) W (release = 2 & AF(transactions = 20000))],Pattern 2.3: Existence - After Q
172,The product shall be expected to operate for at least 5 years for each customer installation.,AG(installationAge <= 5),Pattern 4.1: Universality - Globally
173,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,AG(productAccess -> AF (isEmployee | hasApprovedId)),Pattern 6.1: Response - Globally
174,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,AG(searchReservationByUser -> AF(managementLogon)) ,Pattern 4.3: Universality - After Q
175,The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,AG(enterData -> AF(dataInDatabase = enteredData)),Pattern 6.1: Response - Globally
176,The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,AG(maliciousDataInput -> AX(dataUncorrupted)),Pattern 6.1: Response - Globally
177,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,AG(maliciousDataInput -> AX(systemOperational)),Pattern 6.1: Response - Globally
178,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,AG(automaticUpdatesAvailable -> AX(customersReceiveUpdates)),Pattern 6.1: Response - Globally
179,The product shall record meeting entries.,AG(meetingEntry -> AX(recorded)),Pattern 6.1: Response - Globally
180,The product will notify employees of meeting invitations.,AG(meetingInvitation -> AX(notified)),Pattern 6.1: Response - Globally
181,The product shall have the ability to send meeting reminders to employees.,AG(meetingScheduled -> AF(reminderSent)),Pattern 6.1: Response - Globally
182,The product shall assign the organizers contact information to each meeting they create.,AG(meetingCreated -> AF(organizerContactAssigned)),Pattern 6.1: Response - Globally
183,The product will record meeting acknowledgements.,AG(meetingAcknowledged -> AF(acknowledgmentRecorded)),Pattern 6.1: Response - Globally
184,The product shall store new conference rooms.,AG(conferenceRoomAdded -> AF(conferenceRoomStored)),Pattern 6.1: Response - Globally
185,The product shall update existing conference rooms.,AG(conferenceRoomUpdateRequest -> AF(conferenceRoomUpdated)),Pattern 6.1: Response - Globally
186,The product will be able to delete conference rooms.,AG(conferenceRoomDeletionRequest -> AF(conferenceRoomDeleted)),Pattern 6.1: Response - Globally
187,The product shall be able to store new room equipment.,AG(newRoomEquipmentRequest -> AF(roomEquipmentStored)),Pattern 6.1: Response - Globally
188,The product will update existing room equipment.,AG(updateRoomEquipmentRequest -> AF(roomEquipmentUpdated)),Pattern 6.1: Response - Globally
